,Cutoff,Review
0,5/30/1997,6/23/1997
1,11/28/1997,12/22/1997
2,5/29/1998,6/22/1998
3,11/30/1998,12/21/1998
4,5/31/1999,6/21/1999
5,11/30/1999,12/20/1999
6,5/31/2000,6/19/2000
7,11/30/2000,12/18/2000
8,5/31/2001,6/18/2001
9,11/30/2001,12/24/2001
10,5/31/2002,6/24/2002
11,11/29/2002,12/23/2002
12,5/30/2003,6/23/2003
13,11/28/2003,12/22/2003
14,5/31/2004,6/21/2004
15,11/30/2004,12/20/2004
16,5/31/2005,6/20/2005
17,11/30/2005,12/19/2005
18,5/31/2006,6/19/2006
19,11/30/2006,12/18/2006
20,5/31/2007,6/18/2007
21,11/30/2007,12/24/2007
22,5/30/2008,6/23/2008
23,11/28/2008,12/22/2008
24,5/29/2009,6/22/2009
25,11/30/2009,12/21/2009
26,5/31/2010,6/21/2010
27,11/30/2010,12/20/2010
28,5/31/2011,6/20/2011
29,11/30/2011,12/19/2011
30,5/31/2012,6/18/2012
31,11/30/2012,12/24/2012
32,5/31/2013,6/24/2013
33,11/29/2013,12/23/2013
34,5/30/2014,6/23/2014
35,11/28/2014,12/22/2014
36,5/29/2015,6/22/2015
37,11/30/2015,12/21/2015
38,5/31/2016,6/20/2016
39,11/30/2016,12/19/2016
40,5/31/2017,6/19/2017
41,11/30/2017,12/18/2017
42,5/31/2018,6/18/2018
43,11/30/2018,12/24/2018
44,5/31/2019,6/24/2019
45,11/29/2019,12/23/2019
46,5/29/2020,6/22/2020
47,11/30/2020,12/21/2020
48,5/31/2021,6/21/2021
49,11/30/2021,12/20/2021
50,5/31/2022,6/20/2022
51,11/30/2022,12/19/2022
52,5/31/2023,6/19/2023
53,11/30/2023,12/18/2023
54,5/31/2024,6/24/2024