,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB
51004,2023-12-18,1148,CN2PND,CNE000001L07,BD57ZT0,LIANCHUANG ELEC TECH 'A' (CCS),CN,CNY,50202010.0
51444,2023-12-18,1148,CN8CCV,KYG2816P1072,B29MXW3,DONGYUE GROUP,CN,HKD,55201000.0
50976,2023-12-18,1148,CN2U50,CNE100000C07,BD5CH44,Broad-Ocean 'A' (CCS),CN,CNY,50202010.0
50992,2023-12-18,1148,CN390B,CNE1000042H7,BP91NF4,WUXI NCE POWER 'A' (CCS),CN,CNY,10102010.0
50981,2023-12-18,1148,CN2IJ2,CNE000001R76,BP3R9V6,CHONGQING IRON & STEEL 'A' (CCS),CN,CNY,55102010.0
51058,2023-12-18,1148,CN2VTP,CNE100003Y65,BL6CRP0,CHINA-SG SZH. INPK.DEVGP.'A' (CCS),CN,CNY,35101010.0
50998,2023-12-18,1148,CN36GO,CNE100003SS3,BMXV144,BEI MO GAO FRICTION MTRL 'A' (CCS),CN,CNY,50201010.0
51491,2023-12-18,1148,CN0Q6V,CNE1000004X4,B1L3XL6,ZHUZHOU CRRC TIMES ELEC 'H',CN,HKD,50206025.0
51085,2023-12-18,1148,CN2ZNN,CNE000000TM1,BD5CBB9,TELLING TELECM.HLDG.'A' (CCS),CN,CNY,40401030.0
51002,2023-12-18,1148,CN30IK,CNE000000NP7,BF2DZ40,XINYU IRON & STEEL 'A' (CCS),CN,CNY,55102010.0
51204,2023-12-18,1148,CN2FUA,CNE000000S27,BD580M1,Tibet Mineral 'A' (CCS),CN,CNY,55102000.0
51092,2023-12-18,1148,CN2SF8,CNE000001568,BD5CGS1,Changyu-A 'A' (CCS),CN,CNY,45101015.0
51403,2023-12-18,1148,CN8DL5,KYG2157Q1029,BCDBKF8,CHINA LESSO GROUP HDG.,CN,HKD,50101035.0
50977,2023-12-18,1148,CN32UY,CNE1000009B9,BD73L76,TOPSEC TECHS. GP.'A' (CCS),CN,CNY,10101010.0
51040,2023-12-18,1148,CN37EN,CNE000001048,BFY8HH0,SICHUAN HEXIE SHUANGMA 'A' (CCS),CN,CNY,50101030.0
50978,2023-12-18,1148,CN2QWN,CNE000000FM0,BD5CLS6,DIGITAL CHINA INFORMATION SERVICE GROUP 'A' (CCS),CN,CNY,10101010.0
50980,2023-12-18,1148,CN2T60,CNE000000KT5,BD5CMG1,Financial St 'A' (CCS),CN,CNY,35101010.0
51100,2023-12-18,1148,CN2P7X,CNE1000036B2,BF0XD15,YANGTZE OPT. FIBRE&CABLE. 'A' (CCS),CN,CNY,15101010.0
50788,2023-12-18,1148,CN86LY,US47759T1007,B64H9N4,JINKOSOLAR HOLDING ADR,CN,USD,60102020.0
51024,2023-12-18,1148,CN2WUR,CNE100001765,BQ3RWX6,HENAN MINGTAI AL INDL. 'A' (CCS),CN,CNY,55102035.0
51406,2023-12-18,1148,HK90HR,KYG2163M1033,BF13433,CHINA EDUCATION GROUP HOLDINGS,CN,HKD,40201010.0
51000,2023-12-18,1148,CN2ZBB,CNE0000003F5,BD5M1R5,GUOCHENG MINING 'A' (CCS),CN,CNY,55102050.0
50974,2023-12-18,1148,CN391C,CNE000001618,BP91NM1,CNSIG INNER MON. CHE. IND. 'A' (CCS),CN,CNY,55201000.0
51086,2023-12-18,1148,CN2ZFF,CNE100001V11,BYV1VJ5,BEIJING GEOENVIRON E&T. 'A' (CCS),CN,CNY,65103035.0
51041,2023-12-18,1148,CN2UE9,CNE000001PF1,BD5CJN7,ZHEJ.WANFENG AUTO WHEEL 'A' (CCS),CN,CNY,40101025.0
51400,2023-12-18,1148,PH227,KYG2113L1068,B41XC98,CHINA RESOURCES BUILDING MATERIALS TECHNOLOGY HDG,CN,HKD,50101030.0
50995,2023-12-18,1148,CN35U1,CNE100003LB4,BK4XS44,JIANGSU GUOMAO REDUCER 'A' (CCS),CN,CNY,50204000.0
51399,2023-12-18,1148,HK40IN,KYG6501M1050,BBPD5F0,NEXTEER AUTOMOTIVE GROUP,CN,HKD,40101025.0
50999,2023-12-18,1148,CN2IM5,CNE000001F39,BP3RB98,Tang Sanyou 'A' (CCS),CN,CNY,55201000.0
50990,2023-12-18,1148,CN2ONC,CNE1000015C4,BD6QVY3,ANHUI JINHE INDL.'A' (CCS),CN,CNY,55201000.0
51075,2023-12-18,1148,CN35Y5,CNE100003N68,BK717G0,BEIDA JD.BIRD 'A' (CCS),CN,CNY,50202020.0
51496,2023-12-18,1148,CN0OI5,CNE1000004J3,6321954,TRAVELSKY TECHNOLOGY 'H',CN,HKD,10101010.0
51084,2023-12-18,1148,CN4C6L,CNE1000043M5,BNRLFQ7,WUXI PAIKE N. MTRLS TECH. 'A' (CCS),CN,CNY,55102015.0
51081,2023-12-18,1148,CN2EYD,CNE000000XB6,BP3RDB4,Sh Belling 'A' (CCS),CN,CNY,10102010.0
51060,2023-12-18,1148,CN36KS,CNE0000018Q0,BMQ8T71,INMYSHOW DIGITAL TECH. 'A' (CCS),CN,CNY,40301020.0
50994,2023-12-18,1148,CN2J5P,CNE000001G04,BP3RHJ0,Fangda Steel 'A' (CCS),CN,CNY,55102010.0
50996,2023-12-18,1148,CN2YFE,CNE0000016D2,BFB4HB5,TIBET SUMMIT RESOURCES 'A' (CCS),CN,CNY,55102050.0
51042,2023-12-18,1148,CN2IUD,CNE100001757,BP3RDR0,BEIJING JINGYUNTONG TECH.'A' (CCS),CN,CNY,10102020.0
51083,2023-12-18,1148,CN2SNG,CNE100000WV5,BD5CJH1,PENGDU AGRI. & ANIMAL HUSB.'A' (CCS),CN,CNY,45102010.0
51077,2023-12-18,1148,CN2TTN,CNE100000J59,BD5CCP0,ZHEJIANG YONGTAI TECH. 'A' (CCS),CN,CNY,55201020.0
51461,2023-12-18,1148,CN8CK3,KYG982771092,B2RJYH8,XTEP INTERNATIONAL HDG.,CN,HKD,40204025.0
51003,2023-12-18,1148,CN37MV,CNE100003K38,BHZM366,BANK OF QINGDAO 'A' (CCS),CN,CNY,30101010.0
51418,2023-12-18,1148,KY11J3,KYG1193D1097,BKY5R76,Blue Moon Group Holdings Ltd,CN,HKD,45201030.0
51089,2023-12-18,1148,CN376F,CNE1000031J6,BQ3RX33,WENCAN GROUP 'A' (CCS),CN,CNY,40101025.0
51072,2023-12-18,1148,CN2IVE,CNE000001907,BP3RF85,Xinan Chemical 'A' (CCS),CN,CNY,55201015.0
51074,2023-12-18,1148,CN2YZY,CNE1000018X4,BD5LX09,XIAMEN KINGDOMWAY GP.'A' (CCS),CN,CNY,45102020.0
51076,2023-12-18,1148,CN33CH,CNE000001QF9,BD6QV87,SANSTEEL MINGUANG 'A' (CCS),CN,CNY,55102010.0
51471,2023-12-18,1148,PH047,HK0817039453,B23TGR6,CHINA JINMAO HOLDINGS GROUP,CN,HKD,35101010.0
50993,2023-12-18,1148,CN2TXR,CNE0000002R2,BD5CD46,Csg Holding 'A' (CCS),CN,CNY,50203020.0
51063,2023-12-18,1148,CN2HGY,CNE100000BT3,BD5LV83,JIANGSU AZURE 'A' (CCS),CN,CNY,50203000.0
51005,2023-12-18,1148,CN2HI0,CNE000001PZ9,BD5LWR9,XINJIANG TECON ANM BIO-TECH A (CCS),CN,CNY,45102010.0
51465,2023-12-18,1148,KY119T,KYG5141L1059,BLBFH65,Jiumaojiu International Holdin,CN,HKD,40501040.0
51098,2023-12-18,1148,CN2HBT,CNE0000009C9,BD5LRK7,HUBEI YIHUA CHM.IND.'A' (CCS),CN,CNY,55201000.0
51097,2023-12-18,1148,CN2L1N,CNE000000TB4,BP3RFK7,NUODE NEW MATERIALS 'A' (CCS),CN,CNY,50202010.0
51088,2023-12-18,1148,CN2USN,CNE000001P86,BD5CN91,Gold Mantis 'A' (CCS),CN,CNY,50101035.0
51095,2023-12-18,1148,CN2TVP,CNE100000BQ9,BD5CCS3,Joyoung 'A' (CCS),CN,CNY,40202020.0
51087,2023-12-18,1148,CN31MP,CNE1000013N6,BHQPRM8,JIANGSU SHUANGXING A (CCS),CN,CNY,50203015.0
51101,2023-12-18,1148,CN31Z2,CNE1000006X9,BD5LSK4,ANHUI TRUCHUM ADMA. & TECH.'A' (CCS),CN,CNY,55102040.0
51103,2023-12-18,1148,CN30QS,CNE100000C98,BFY8GD9,LIER CHEMICAL 'A' (CCS),CN,CNY,55201015.0
51078,2023-12-18,1148,CN3204,CNE0000013G2,BD5LT56,CHENGZHI 'A' (CCS),CN,CNY,55201000.0
51062,2023-12-18,1148,CN367F,CNE100003PQ3,BL591D8,BAFANG ELECTRIC (SUZHOU) 'A' (CCS),CN,CNY,40101025.0
51398,2023-12-18,1148,CN92IS,VGG9833A1049,BGSN864,XINYI ENERGY HOLDINGS,CN,HKD,65101010.0
51079,2023-12-18,1148,CN2F4K,CNE100001M04,BP3RJD8,CTS INTL.LOGISTICS 'A' (CCS),CN,CNY,50206040.0
51057,2023-12-18,1148,CN392D,CNE100001ZW4,BP91NN2,SHINGHWA ADVANCED MATERIAL GROUP A (CCS),CN,CNY,55201000.0
51096,2023-12-18,1148,CN2F3J,CNE000001C57,BP3RHQ7,Jinjing 'A' (CCS),CN,CNY,50203020.0
51099,2023-12-18,1148,CN2E7M,CNE000000438,BP3R4L1,SHANGHAI WAIGAOQIAO 'A' (CCS),CN,CNY,35101010.0
51093,2023-12-18,1148,CN2FT9,CNE1000016H1,BD5LXM1,ZHEJIANG AKCOME NEW ENERGY TECHNOLOGY 'A' (CCS),CN,CNY,60102020.0
51091,2023-12-18,1148,CN2IK3,CNE1000013D7,BP3R9W7,CAMEL GROUP 'A' (CCS),CN,CNY,40101025.0
51414,2023-12-18,1148,KY11DX,KYG0405D1051,BKP5JH9,ANGELALIGN TECHNOLOGY,CN,HKD,20102015.0
51494,2023-12-18,1148,CN8FF1,KYG2116J1085,BH7HM06,CHINA CONCH VET.HOLDINGS,CN,HKD,65103035.0
51082,2023-12-18,1148,CN2QRI,CNE000000073,BD5CKX4,JINKE PROPERTY GROUP 'A' (CCS),CN,CNY,35101010.0
51065,2023-12-18,1148,CN35HO,CNE100004FX8,BP91N32,GUANGDONG SHUNKONG DEV. 'A' (CCS),CN,CNY,65102030.0
51056,2023-12-18,1148,CN346C,CNE1000036C0,BFYX656,MILKYWAY CHEM. SUPPLY CHAIN'A' (CCS),CN,CNY,50206060.0
51243,2023-12-18,1148,CN38R1,CNE100000YT5,BNR4M21,XIZI CLEAN ENERGY EQUIPMENT'A' (CCS),CN,CNY,50202010.0
51409,2023-12-18,1148,HK60RY,KYG410121084,BD20C13,GREENTOWN SER GRP,CN,HKD,35101015.0
51402,2023-12-18,1148,CN8EXI,KYG7956A1094,BMWYQP0,SEAZEN GROUP,CN,HKD,35101010.0
51068,2023-12-18,1148,CN3CBP,CNE100005HS1,BN6N6R2,HOLLY FUTURES 'A' (CCS),CN,CNY,30202015.0
51469,2023-12-18,1148,CN92FP,KYG5140J1013,BJ9JY53,JINXIN FERTILITY GROUP,CN,HKD,20101010.0
51421,2023-12-18,1148,680206,HK0604011236,6535261,SHENZHEN INVESTMENT,CN,HKD,35101010.0
51050,2023-12-18,1148,CN2KJ4,CNE000001782,BP3R938,Capital Dev 'A' (CCS),CN,CNY,35101010.0
51102,2023-12-18,1148,CN2V40,CNE100000080,BD5LSJ3,NANJI E-COMMERCE A (CCS),CN,CNY,10101020.0
51051,2023-12-18,1148,CN2P8Y,CNE000001P11,BD5CN35,JIANGSU SHAGANG 'A' (CCS),CN,CNY,55102010.0
51047,2023-12-18,1148,CN2U61,CNE1000008B1,BD5CH55,SHENZHEN JINJIA GP.'A' (CCS),CN,CNY,50203030.0
51052,2023-12-18,1148,CN366E,CNE100003Q57,BL6CND0,GRG METROLOGY & TEST GROUP 'A' (CCS),CN,CNY,40201070.0
51464,2023-12-18,1148,CN93KV,CNE100000353,6391935,HISENSE HOME APPLIANCES GROUP 'H',CN,HKD,40202020.0
51045,2023-12-18,1148,CN2H1J,CNE1000005Y9,BD5CMZ0,RiseSun Real Est 'A' (CCS),CN,CNY,35101010.0
51049,2023-12-18,1148,CN34U0,CNE0000004Q0,BL61WF2,GANSU SHANGFENG CMT.'A' (CCS),CN,CNY,50101030.0
51411,2023-12-18,1148,CN57U5,CNE100001ZT0,BYMW733,LEGEND HOLDINGS 'H',CN,HKD,10102030.0
51064,2023-12-18,1148,CN36Y6,CNE100005568,BP91NK9,JIANGSU BOQIAN NEW MATLS. 'A' (CCS),CN,CNY,55201000.0
51457,2023-12-18,1148,CN1AU4,CNE1000003J5,6005504,JIANGSU EXPRESSWAY H,CN,HKD,50206060.0
51416,2023-12-18,1148,CN534B,BMG202981087,BQWJ9K9,CGN NEW ENERGY HOLDINGS,CN,HKD,65101015.0
51451,2023-12-18,1148,CN1IDV,CNE100000X44,B4Q1Y57,CHONGQING RUR.COML.BK. 'H',CN,HKD,30101010.0
51405,2023-12-18,1148,608071,CNE1000002Z3,6080716,DATANG INTL.PWR.GNRTN. 'H',CN,HKD,65101015.0
50790,2023-12-18,1148,CN1SF7,US23344D1081,BMH5F39,DADA NEXUS 1 ADS,CN,USD,10101020.0
50775,2023-12-18,1148,CN24GL,CNE000000J85,6460200,INNER MONGOLIA EERDUOSI 'B',CN,USD,40204020.0
51462,2023-12-18,1148,HK00LM,CNE1000004F1,6579010,SINOTRANS 'H',CN,HKD,50206060.0
50789,2023-12-18,1148,CN24OT,CNE0000004K3,6196077,LAO FENG XIANG 'B',CN,USD,40204030.0
51408,2023-12-18,1148,CN12Y0,CNE100000TW9,B3ZXLP6,CHINA SUNTIEN GRN.EN.'H',CN,HKD,65102020.0
51420,2023-12-18,1148,CN427C,CNE100005KF2,BQ0QV84,AIM VACCINE H 'H',CN,HKD,20103015.0
51401,2023-12-18,1148,HK009A,CNE1000004C8,6797458,SINOPEC SHAI.PETROCHEM. 'H',CN,HKD,60101020.0
50773,2023-12-18,1148,CN24IN,CNE000000SJ9,6018256,SHAI.ZHENHUA HEAVY IND. 'B',CN,USD,50204020.0
50776,2023-12-18,1148,CN24EJ,CNE000000HH6,6798666,SHAI.LJZ.FN&T.ZONE DEV. 'B',CN,USD,35101010.0
51419,2023-12-18,1148,B018L7,CNE100000536,B018L76,COSCO SHIPPING DEVELOPMENT 'H',CN,HKD,50206030.0
51423,2023-12-18,1148,CN24CH,CNE0000002M3,6196174,CSG HOLDING 'B',CN,HKD,50203020.0
51415,2023-12-18,1148,CN249E,CNE000000T59,6043645,YANTAI CHANGYU PION.WINE 'B',CN,HKD,45101015.0
51394,2023-12-18,1148,CN24MR,CNE000000HW5,6393210,GUANGDONG ELEC.PWR.DEV. 'B',CN,HKD,65101015.0
51395,2023-12-18,1148,CN0P0O,CNE100000F20,B3NFC51,BBMG 'H',CN,HKD,50101030.0
51397,2023-12-18,1148,CN299J,CNE100004BP3,BNK9Q76,JOINN LAB. 'H',CN,HKD,20103010.0
51396,2023-12-18,1148,CN24RW,CNE000000J36,6944953,WEIFU HIGH TECH.GP.'B',CN,HKD,40101025.0
51426,2023-12-18,1148,CN6319,CNE0000007C3,6803441,CHINA MERCHANTS PORT GR.'B',CN,HKD,50206060.0
50777,2023-12-18,1148,CN257D,CNE0000004L1,6800817,SHANGHAI HUAYI GROUP 'B',CN,USD,40101015.0
50778,2023-12-18,1148,CN24TY,CNE000000FG2,6802835,SHANGHAI BAILIAN GROUP 'B',CN,USD,45201010.0
50780,2023-12-18,1148,CN267E,CNE000000GW7,6798763,SHANGHAI LINGANG HOLDINGS 'B',CN,USD,35101010.0
51424,2023-12-18,1148,CN258E,CNE000000RN3,6008291,BENGANG STL.PLATES 'B',CN,HKD,55102010.0
50779,2023-12-18,1148,CN25EK,CNE000000K58,6419172,HUADIAN ENERGY 'B',CN,USD,65101015.0
51425,2023-12-18,1148,CN26KR,CNE000000Q52,6442156,ADAMA 'B',CN,HKD,55201015.0
51712,2023-12-18,1148,IN713G,INE702C01027,BNDTGN9,APL APOLLO TUBES,IN,INR,55102010.0
51662,2023-12-18,1148,IN0AET,INE813H01021,B1JLL30,Torrent Pow,IN,INR,65101015.0
51726,2023-12-18,1148,IN2119,INE699H01024,BL6LPH5,ADANI WILMAR,IN,INR,45102020.0
51652,2023-12-18,1148,IN06ZA,INE356A01018,6151593,Mphasis,IN,INR,10101010.0
51758,2023-12-18,1148,IN12CK,INE513A01022,BPG9V35,Schaeffler India Ltd,IN,INR,40101025.0
51715,2023-12-18,1148,IN82AP,INE674K01013,BYVKT10,ADITYA BIRLA FIN. SERVICES,IN,INR,30301010.0
51735,2023-12-18,1148,IN0AO3,INE686F01025,B1683V6,United Brew,IN,INR,45101010.0
51629,2023-12-18,1148,IN02KR,INE084A01016,6099789,Bank of India,IN,INR,30101010.0
51704,2023-12-18,1148,IN0AT8,INE628A01036,B0L0W35,UPL Ltd,IN,INR,55201015.0
51644,2023-12-18,1148,IN066H,INE220G01021,6743257,JINDAL STAINLESS,IN,INR,55102010.0
51648,2023-12-18,1148,IN11SZ,INE761H01022,B1VJS64,PAGE INDUSTRIES,IN,INR,40204020.0
51653,2023-12-18,1148,IN087K,INE211B01039,B0SXY97,Phoenix Mills,IN,INR,35101010.0
51651,2023-12-18,1148,IN81HV,INE00R701025,BFN2YR2,DALMIA BHARAT,IN,INR,50101030.0
51698,2023-12-18,1148,IN20GN,INE04I401011,BFMX0X4,KPIT TECHNOLOGIES,IN,INR,10101010.0
51725,2023-12-18,1148,IN311A,INE249Z01012,BLHMSY5,MAZAGON DOCK SHIPBUILDERS,IN,INR,50206030.0
51741,2023-12-18,1148,IN70IU,INE405E01023,BYVC6Y8,UNO MINDA,IN,INR,40101025.0
51631,2023-12-18,1148,IN02W3,INE483A01010,B236VP0,Central Bank IN,IN,INR,30101010.0
51755,2023-12-18,1148,IN00FK,INE114A01011,6121499,Steel Authority of India Ltd,IN,INR,55102010.0
51635,2023-12-18,1148,IN10EK,INE797F01020,BNVYT93,JUBILANT FOODWORKS,IN,INR,40501040.0
51673,2023-12-18,1148,IN20LS,INE417T01026,BP4DVR3,PB FINTECH,IN,INR,30302015.0
51663,2023-12-18,1148,IN04OX,INE776C01039,B192HJ1,GMR AIRPORTS INFRASTRUCTURE,IN,INR,50206060.0
51727,2023-12-18,1148,IN20X4,INE317I01021,BLBJ0P7,METRO BRANDS,IN,INR,40401020.0
51734,2023-12-18,1148,IN2018,INE498L01015,B5KYHQ1,L&T FINANCE HOLDINGS,IN,INR,30201020.0
51636,2023-12-18,1148,IN827M,INE545U01014,BG1SV45,BANDHAN BANK,IN,INR,30101010.0
51710,2023-12-18,1148,IN044D,INE171A01029,BFT7KB7,The Federal Bank,IN,INR,30101010.0
51737,2023-12-18,1148,IN01CI,INE012A01025,6155915,ACC,IN,INR,50101030.0
51646,2023-12-18,1148,IN06Y9,INE180A01020,B1TJG95,MAX FINANCIAL SVS.,IN,INR,30301010.0
51760,2023-12-18,1148,IN11U1,INE042A01014,6099875,Escorts Kubota Ltd,IN,INR,50204010.0
51724,2023-12-18,1148,IN07ZB,INE881D01027,6528443,Oracle Fin,IN,INR,10101015.0
51680,2023-12-18,1148,IN12X5,INE591G01017,B02PD81,COFORGE,IN,INR,10101010.0
51714,2023-12-18,1148,IN30RZ,INE415G01027,BJLJGN3,RAIL VIKAS NIGAM,IN,INR,50101010.0
51719,2023-12-18,1148,IN0ADS,INE470A01017,6098496,3M India,IN,INR,50203000.0
51720,2023-12-18,1148,IN217F,INE825V01034,BP0BFK2,VEDANT FASHIONS,IN,INR,40204020.0
51747,2023-12-18,1148,IN01IO,INE212H01026,B0QDXM5,AIA Engg,IN,INR,50204000.0
51733,2023-12-18,1148,IN073F,INE774D01024,B8F8822,M&M Fin Services,IN,INR,30201020.0
51739,2023-12-18,1148,IN039H,INE169A01031,B0VDZN5,Coromandel Intl,IN,INR,55201015.0
51745,2023-12-18,1148,IN07U6,INE274J01014,B409HQ9,OIL INDIA Ltd,IN,INR,60101010.0
51716,2023-12-18,1148,IN30Y6,INE303R01014,BMYLJB6,KALYAN JEWELLERS INDIA,IN,INR,40204030.0
51732,2023-12-18,1148,IN20Y5,INE575P01011,BMG5DV4,STAR HEALTH ALLIED INSURANCE,IN,INR,30301010.0
51718,2023-12-18,1148,IN055F,INE671A01010,6889173,Honeywell Auto,IN,INR,50203000.0
51639,2023-12-18,1148,IN19CR,INE073K01018,BNR5NG5,SONA BLW PRECISION FORGINGS,IN,INR,40101025.0
51643,2023-12-18,1148,IN812G,INE935N01020,BNC5412,DIXON TECHNOLOGIES (INDIA),IN,INR,40203010.0
51736,2023-12-18,1148,IN18O2,INE09N301011,BK10P03,GUJARAT FLUOROCHEMICALS,IN,INR,55201000.0
51630,2023-12-18,1148,IN30T1,INE457A01014,B00PVH8,BANK OF MAHARASHTRA,IN,INR,30101010.0
51717,2023-12-18,1148,IN03CK,INE007A01025,B45Z353,CRISIL Ltd,IN,INR,30201030.0
51721,2023-12-18,1148,IN0A8N,INE152A01029,B10SSP1,Thermax,IN,INR,50101025.0
51665,2023-12-18,1148,IN80CP,INE288B01029,BNGMX23,DEEPAK NITRITE,IN,INR,55201000.0
51750,2023-12-18,1148,IN50IS,INE398R01022,BYXXQB6,SYNGENE INTERNATIONAL,IN,INR,20103010.0
51752,2023-12-18,1148,IN08CP,INE347G01014,B00KT68,Petronet Lng,IN,INR,60101020.0
51722,2023-12-18,1148,IN603E,INE844O01030,BGS92Z9,GUJARAT GAS,IN,INR,65102020.0
51751,2023-12-18,1148,IN18S6,INE511C01022,B084VN3,MAGMA FINCORP,IN,INR,30201020.0
51749,2023-12-18,1148,IN13EN,INE068V01023,BN8ZT55,GLAND PHARMA,IN,INR,20103015.0
51666,2023-12-18,1148,IN219H,INE148O01028,BN7FZ69,DELHIVERY,IN,INR,50206040.0
51667,2023-12-18,1148,IN05S2,INE571A01038,BMX7Q69,IPCA Labs,IN,INR,20103015.0
51757,2023-12-18,1148,IN02CJ,INE376G01013,6741251,Biocon,IN,INR,20103010.0
51728,2023-12-18,1148,IN04KT,INE159A01016,6117982,GlaxoSmith P,IN,INR,20103015.0
51759,2023-12-18,1148,IN05IS,INE203G01027,BD9PXD0,INDRAGAS,IN,INR,65102020.0
51658,2023-12-18,1148,IN0B2I,INE226A01021,B1FCQX2,Voltas Ltd,IN,INR,50101025.0
51743,2023-12-18,1148,IN216E,INE0FS801015,BPR9V01,MOTHERSON SUMI WIRING INDIA,IN,INR,40101025.0
51723,2023-12-18,1148,IN30LT,INE281B01032,BD3GM43,LLOYDS METALS & ENERGY,IN,INR,55102010.0
51729,2023-12-18,1148,IN06EP,INE531A01024,BWGW724,Kansai,IN,INR,50203010.0
51730,2023-12-18,1148,IN0AIX,INE092A01019,6101167,Tata Chemicals,IN,INR,55201000.0
50782,2023-12-18,1148,IN13IR,US92932M1018,B194GX4,WNS HDG. ADR,IN,USD,50205020.0
51627,2023-12-18,1148,IN505F,INE131B01039,BGSCL06,RELAXO FOOTWEARS,IN,INR,40204025.0
51746,2023-12-18,1148,IN03W4,INE548C01032,6741035,Emami,IN,INR,45201020.0
51713,2023-12-18,1148,IN601C,INE647O01011,B86PGH3,ADITYA FASH.& RETAIL,IN,INR,40204020.0
51731,2023-12-18,1148,IN20BI,INE100A01010,6139759,ATUL,IN,INR,55201000.0
51671,2023-12-18,1148,IN60HS,INE299U01018,BD87BS8,CRMPTN.GREAVES CSM.ELEC,IN,INR,40202020.0
51511,2023-12-18,1148,TW052W,TW0002834009,6098816,Taiwan Business Bank,TW,TWD,30101010.0
51519,2023-12-18,1148,TW10SI,TW0009941005,6201465,YULON FINANCE,TW,TWD,30201020.0
51507,2023-12-18,1148,TW08YV,TW0002368008,6107585,GOLD CIRCUIT ELECTRONICS,TW,TWD,10102015.0
51557,2023-12-18,1148,TW00G5,TW0002353000,6005850,Acer Inc,TW,TWD,10102030.0
51514,2023-12-18,1148,TW012S,TW0001229003,6515144,Lien Hwa Ind,TW,TWD,45102020.0
51554,2023-12-18,1148,TW10J9,TW0003533006,B1GJFG8,Lotes,TW,TWD,10102015.0
51526,2023-12-18,1148,TW08VS,TW0009945006,6748423,Ruentex C D,TW,TWD,35101010.0
51572,2023-12-18,1148,TW6050,TW0005269005,B6ZZQ69,ASMEDIA TECHNOLOGY,TW,TWD,10102010.0
51524,2023-12-18,1148,TW601W,TW0008464009,BSZLN15,NIEN MADE ENTERPRISE,TW,TWD,40202015.0
51549,2023-12-18,1148,TW060V,TW0003044004,6305721,Tripod Tech,TW,TWD,10102015.0
51510,2023-12-18,1148,TW01G6,TW0001504009,6879851,Teco Electric,TW,TWD,50202040.0
51550,2023-12-18,1148,TW03UM,TW0002449006,6352493,King Yuan Elec,TW,TWD,10102020.0
51525,2023-12-18,1148,TW208Z,KYG989221000,B734XQ4,ZHEN DING TECH.HOLDING,TW,TWD,10102015.0
51509,2023-12-18,1148,TW03A2,TW0002371002,6875677,Tatung,TW,TWD,50202010.0
51508,2023-12-18,1148,TW05WQ,TW0003035002,6186045,Faraday Tech,TW,TWD,10102010.0
51512,2023-12-18,1148,TW027Y,TW0002027000,6873109,Ta Chen,TW,TWD,55102010.0
51563,2023-12-18,1148,TW20I9,TW0006789001,BMCVYD5,VISERA TECHNOLOGIES,TW,TWD,10102010.0
51506,2023-12-18,1148,TW08JG,TW0009904003,6696157,Pou Chen,TW,TWD,40204025.0
51513,2023-12-18,1148,TW036Y,TW0002360005,6212100,Chroma Ate,TW,TWD,50202025.0
51516,2023-12-18,1148,TW070W,TW0003653002,B3FJBY3,JENTECH PRECISION INDL.,TW,TWD,10102015.0
51520,2023-12-18,1148,TW032U,TW0002352002,6054465,Qisda,TW,TWD,10102030.0
