Date,No_Null_Size,Total,Count,Weight
1997-03-24,717,817,0.8776009791921665,0.9115743183376076
1997-06-23,717,817,0.8776009791921665,0.900730110607295
1997-09-22,802,927,0.8651564185544768,0.7595751881990088
1997-12-22,798,922,0.8655097613882863,0.7621651512414357
1998-03-23,1102,1247,0.8837209302325582,0.8360758211007834
1998-06-22,1100,1238,0.8885298869143781,0.85049615822858
1998-09-21,747,821,0.9098660170523751,0.9182998974958927
1998-12-21,740,810,0.9135802469135802,0.90078988285019
1999-03-22,821,903,0.9091915836101883,0.8698282384809221
1999-06-21,821,900,0.9122222222222223,0.9126457073685533
1999-09-20,841,914,0.9201312910284464,0.9445757927401759
1999-12-20,839,912,0.9199561403508771,0.9461232407643357
2000-03-20,866,944,0.9173728813559322,0.9326251781991212
2000-06-19,862,938,0.9189765458422174,0.9307160520544019
2000-09-18,1063,1139,0.9332748024582967,0.9433145630816173
2000-12-18,1055,1129,0.9344552701505757,0.9537186553606957
2001-03-19,973,1059,0.9187913125590179,0.9305978807372817
2001-06-18,967,1050,0.920952380952381,0.9360029298984115
2001-09-24,714,764,0.9345549738219895,0.9477246537797225
2001-12-24,713,761,0.9369250985545335,0.9351913313691773
2002-03-18,740,791,0.9355246523388117,0.9426168324635724
2002-06-24,736,785,0.9375796178343949,0.9489140495031847
2002-09-23,843,908,0.9284140969162996,0.9390953921527285
2002-12-23,838,901,0.93007769145394,0.9446740690660782
2003-03-24,862,927,0.9298813376483279,0.9328498978353162
2003-06-23,858,922,0.93058568329718,0.9282722401402939
2003-09-22,802,856,0.9369158878504673,0.9371230146720451
2003-12-22,801,854,0.9379391100702577,0.939638716407175
2004-03-22,826,879,0.9397042093287827,0.9345101955010724
2004-06-21,823,875,0.9405714285714286,0.9357184003833002
2004-09-20,1020,1081,0.9435707678075855,0.9410183610673778
2004-12-20,1016,1075,0.9451162790697675,0.9538394463950756
2005-03-21,1049,1110,0.945045045045045,0.9536272659281002
2005-06-20,1043,1104,0.9447463768115942,0.952804530002666
2005-09-19,1138,1198,0.9499165275459098,0.9493780798947807
2005-12-19,1137,1197,0.949874686716792,0.9483065635848336
2006-03-20,1176,1243,0.9460981496379727,0.9437194767380044
2006-06-19,1167,1232,0.9472402597402597,0.9528505243791507
2006-09-18,1250,1327,0.9419743782969103,0.9284543814475804
2006-12-18,1239,1314,0.9429223744292238,0.9299790974499189
2007-03-19,1279,1365,0.936996336996337,0.9231687769621622
2007-06-18,1277,1353,0.9438285291943829,0.9487217886522462
2007-09-24,1414,1505,0.9395348837209302,0.9482227904590378
2007-12-24,1404,1492,0.9410187667560321,0.9598594358401954
2008-03-24,1486,1576,0.9428934010152284,0.9578332390391087
2008-06-23,1479,1568,0.9432397959183674,0.9535692661339004
2008-09-22,1604,1675,0.9576119402985075,0.9638395384389259
2008-12-22,1594,1665,0.9573573573573574,0.9647760474826464
2009-03-23,1644,1706,0.9636576787807737,0.965310032011461
2009-06-22,1639,1700,0.9641176470588235,0.9611746216753962
2009-09-21,1355,1414,0.9582743988684582,0.956247889960674
2009-12-21,1351,1409,0.9588360539389638,0.9563988799013275
2010-03-22,1394,1456,0.9574175824175825,0.9653309907313486
2010-06-21,1383,1445,0.9570934256055363,0.964888273391747
2010-09-20,1475,1550,0.9516129032258065,0.9631623265197479
2010-12-20,1469,1544,0.9514248704663213,0.9652231225482384
2011-03-21,1543,1622,0.9512946979038225,0.9631632986417031
2011-06-20,1526,1604,0.9513715710723192,0.96530679561239
2011-09-19,1606,1687,0.951985773562537,0.9645255038458594
2011-12-19,1599,1677,0.9534883720930233,0.9685276468812759
2012-03-19,1677,1759,0.9533826037521319,0.9638465242035681
2012-06-18,1673,1752,0.9549086757990868,0.9661941392441199
2012-09-24,1538,1608,0.9564676616915423,0.9664101330772925
2012-12-24,1531,1599,0.957473420888055,0.9678415041361662
2013-03-18,1553,1622,0.9574599260172626,0.967232954469631
2013-06-24,1546,1614,0.9578686493184635,0.9626196800514821
2013-09-23,1510,1568,0.9630102040816326,0.9645980652234398
2013-12-23,1521,1570,0.9687898089171975,0.9694559881053383
2014-03-24,1553,1604,0.9682044887780549,0.9664330094421995
2014-06-23,1550,1599,0.9693558474046279,0.9662204788142287
2014-09-22,1488,1553,0.9581455247907277,0.9629169879314087
2014-12-22,1477,1541,0.9584685269305646,0.9626837708953455
2015-03-23,1538,1605,0.9582554517133957,0.9596067394709589
2015-06-22,1534,1600,0.95875,0.9639596950554443
2015-09-21,1727,1805,0.9567867036011081,0.9608327517436148
2015-12-21,1715,1787,0.9597090095131505,0.955143123947374
2016-03-21,1796,1868,0.961456102783726,0.9581206444419296
2016-06-20,1781,1852,0.9616630669546437,0.9612949072564719
2016-09-19,1795,1870,0.9598930481283422,0.9600512210360106
2016-12-19,1769,1843,0.9598480737927293,0.9612734235066775
2017-03-20,1809,1884,0.9601910828025477,0.9616824410963585
2017-06-19,1792,1867,0.9598286020353508,0.9611591476889737
2017-09-18,1813,1884,0.9623142250530785,0.9616660184506894
2017-12-18,1800,1872,0.9615384615384616,0.959481291903832
2018-03-19,1915,1988,0.9632796780684104,0.9590132806340029
2018-06-18,1900,1973,0.963000506842372,0.9595953635828818
2018-09-24,2003,2081,0.9625180201826046,0.9648172282691788
2018-12-24,2001,2076,0.9638728323699421,0.9657153677006804
2019-03-18,2469,2544,0.9705188679245284,0.9665695216399588
2019-06-24,2437,2512,0.9701433121019108,0.9657505983227919
2019-09-23,2259,2324,0.9720309810671256,0.9655478255376053
2019-12-23,2268,2333,0.9721388769824261,0.9663354348050517
2020-03-23,2366,2431,0.9732620320855615,0.962534089223058
2020-06-22,2355,2420,0.9731404958677686,0.9608711509042587
2020-09-21,2348,2398,0.9791492910758965,0.965274583795973
2020-12-21,2339,2389,0.9790707408957723,0.9683367947617001
2021-03-22,2592,2643,0.9807037457434733,0.9698904759253951
2021-06-21,2588,2639,0.9806744979158772,0.9697755146811099
2021-09-20,3300,3302,0.9993943064809206,0.9993019926497546
2021-12-20,3289,3291,0.9993922819811607,0.9996283062939796
2022-03-21,3326,3328,0.9993990384615384,0.9994532796597423
2022-06-20,3311,3314,0.9990947495473748,0.9994481693142194
2022-09-19,3325,3329,0.9987984379693602,0.9994734317668231
2022-12-19,3238,3239,0.9996912627354122,0.9996967038053067
2023-03-20,3264,3300,0.9890909090909091,0.9966376770326849
2023-06-19,3274,3276,0.9993894993894994,99.94117999999999
2023-09-18,4004,4004,1.0,99.99987
2023-12-18,3969,3969,1.0,99.99999000000001
2024-03-18,4885,4887,0.9995907509719665,99.99766
2024-06-24,4667,4667,1.0,100.00001999999999
